,state,Status of abortion,More details
0,AL,Banned,Abortion is banned in almost all circumstances.
1,AR,Banned,Abortion is banned in almost all circumstances.
2,ID,Banned,Abortion is banned in almost all circumstances.
3,IN,Banned,Abortion is banned in almost all circumstances.
4,KY,Banned,Abortion is banned in almost all circumstances.
5,LA,Banned,Abortion is banned in almost all circumstances.
6,MS,Banned,Abortion is banned in almost all circumstances.
7,OK,Banned,Abortion is banned in almost all circumstances.
8,SD,Banned,Abortion is banned in almost all circumstances.
9,TN,Banned,Abortion is banned in almost all circumstances.
10,TX,Banned,Abortion is banned in almost all circumstances.
11,WV,Banned,Abortion is banned in almost all circumstances.
12,FL,Gestational limit,Abortion is banned after about six weeks of pregnancy.
13,GA,Gestational limit,Abortion is banned after about six weeks of pregnancy while the Georgia Supreme Court considers an appeal to a lower court decision that ruled the ban violated the state Constitution.
14,IA,Gestational limit,Abortion is banned after about six weeks of pregnancy
15,SC,Gestational limit,Abortion is banned after about six weeks of pregnancy.
16,NE,Gestational limit,Abortion is banned after 12 weeks of pregnancy.
17,NC,Gestational limit,Abortion is banned after 12 weeks of pregnancy.
18,UT,Gestational limit,Abortion is banned after 18 weeks of pregnancy.
19,MT,Ban blocked,"Voters enshrined abortion protections in the state Constitution in 2024, which will take effect in 2025."
20,WY,Ban blocked,A judge has temporarily blocked a ban on most abortions and another law that explicitly bans the use of abortion pills. A separate ban on most abortions remains indefinitely blocked.
21,AZ,Legal,Voters enshrined abortion protections in the state Constitution in 2024.
22,AK,Legal,The State Supreme Court has recognized a right to “reproductive choice” under the state Constitution.
23,CA,Legal,State law protects abortion and shields patients and providers from laws in other states.
24,CO,Legal,Voters enshrined abortion protections in the state Constitution in 2024.
25,CT,Legal,State law protects abortion and shields those seeking or providing abortions in Connecticut from laws in other states.
26,DE,Legal,State law protects abortion and shields those seeking or providing abortions in Delaware from laws in other states.
27,HI,Legal,State law protects abortion and shields those seeking or providing abortions in Hawaii from laws in other states.
28,IL,Legal,The State Supreme Court has recognized abortion protections under the state Constitution.
29,KS,Legal,The State Supreme Court ruled in 2019 that a pregnant woman’s right to personal autonomy is protected in the state Constitution.
30,ME,Legal,State law protects abortion and shields those seeking or providing abortions in Maine from laws in other states.
31,MD,Legal,Voters enshrined abortion protections in the state Constitution in 2024.
32,MA,Legal,The Massachusetts Supreme Judicial Court has recognized the right to abortion under the state Constitution.
33,MI,Legal,Voters enshrined abortion protections in the state Constitution in 2022. State law protects abortion and an executive order shields those seeking or providing abortions in Michigan from laws in other states.
34,MN,Legal,The State Supreme Court has recognized the right to abortion under the state Constitution.
35,MO,Legal,"Voters enshrined abortion protections in the state Constitution in 2024, and a judge blocked the state’s abortion ban."
36,NV,Legal,Voters supported a ballot measure to enshrine abortion protections in the state Constitution in 2024.
37,NH,Legal,Abortion is not expressly protected by state law.
38,NJ,Legal,The New Jersey Supreme Court has recognized the right to abortion under the state Constitution.
39,NM,Legal,State law shields those seeking or providing abortions in New Mexico from laws in other states.
40,NY,Legal,"Voters enshrined equal rights protections, including those for reproductive health care and autonomy, in the state’s bill of rights in 2024."
41,ND,Legal,"Abortion is legal in North Dakota, after a judge ruled in September that a near-total ban was unconstitutional."
42,OH,Legal,Voters enshrined abortion protections in the state Constitution in 2023.
43,OR,Legal,State law protects abortion throughout pregnancy and shields those seeking or providing abortions in Oregon from laws in other states.
44,PA,Legal,An executive order shields those seeking or providing abortions in Pennsylvania from laws in other states.
45,RI,Legal,State law protects abortion and an executive order shields those seeking or providing abortions in Rhode Island from laws in other states.
46,VT,Legal,Voters enshrined abortion protections in the state Constitution in 2022.
47,VA,Legal,Abortion is not expressly protected by state law.
48,WA,Legal,State law protects abortion and shields those seeking or providing abortions in Washington from laws in other states.
50,WI,Legal,"In late 2023, a Wisconsin judge ruled that an 1849 law widely interpreted as a ban did not apply to abortion."
